name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,total_enrollment,ivy_league,tuition_avg
Keene State College,New Hampshire,NH,Public,4 Year,11026,14212,25238,23176,34202,10,New-Hampshire,48900,83600,49,8,4957,0,29720
Kennesaw State University,Georgia,GA,Public,4 Year,11467,7432,18899,21158,32625,5,Georgia,52500,94600,46,22,25714,0,25762
Kentucky Christian University,Kentucky,KY,Private,4 Year,8270,19820,28090,19820,28090,22,Kentucky,39600,70300,68,3,658,0,28090
Kentucky State University,Kentucky,KY,Public,4 Year,6690,8090,14780,19390,26080,18,Kentucky,40700,73100,57,13,1895,0,20430
Kentucky Wesleyan College,Kentucky,KY,Private,4 Year,9764,26440,36204,26440,36204,14,Kentucky,42100,76800,65,14,709,0,36204
Kenyon College,Ohio,OH,Private,4 Year,12510,55930,68440,55930,68440,7,Ohio,55000,103800,50,17,1662,0,68440
Kettering College,Ohio,OH,Private,4 Year,4100,16200,20300,16200,20300,14,Ohio,54300,95800,NA,0,760,0,20300
Kettering University,Michigan,MI,Private,4 Year,8240,43490,51730,43490,51730,1,Michigan,69900,125000,44,74,2079,0,51730
Knox College,Illinois,IL,Private,4 Year,9870,46554,56424,46554,56424,15,Illinois,50600,95400,45,24,1399,0,56424
La Salle University,Pennsylvania,PA,Private,4 Year,15080,30560,45640,30560,45640,15,Pennsylvania,55800,104800,40,5,6242,0,45640
Lafayette College,Pennsylvania,PA,Private,4 Year,15640,52880,68520,52880,68520,6,Pennsylvania,66500,122500,37,47,2503,0,68520
Lake Forest College,Illinois,IL,Private,4 Year,10390,47064,57454,47064,57454,9,Illinois,55400,102600,46,21,1626,0,57454
Lake Superior State University,Michigan,MI,Public,4 Year,9882,12090,21972,12090,21972,24,Michigan,45900,83500,48,14,2407,0,21972
Lakeview College of Nursing,Illinois,IL,Private,4 Year,NA,16320,16320,16320,16320,18,Illinois,55000,94100,83,0,317,0,16320
Lamar University,Texas,TX,Public,4 Year,8920,10192,19112,22642,31562,13,Texas,53300,101200,57,16,14895,0,25337
Lander University,South Carolina,SC,Public,4 Year,9100,11700,20800,21300,30400,15,South-Carolina,42600,77100,54,9,2787,0,25600
Langston University,Oklahoma,OK,Public,4 Year,9476,5950,15426,13300,22776,11,Oklahoma,46500,81500,66,8,2482,0,19101
Lawrence Technological University,Michigan,MI,Private,4 Year,9950,33570,43520,33570,43520,4,Michigan,57900,108400,49,60,4015,0,43520
Lawrence University,Wisconsin,WI,Private,4 Year,10341,47475,57816,47475,57816,5,Wisconsin,51500,98800,58,25,1511,0,57816
Lehigh University,Pennsylvania,PA,Private,4 Year,13600,52930,66530,52930,66530,2,Pennsylvania,69500,134100,45,52,7119,0,66530
Lenoir-Rhyne University,North Carolina,NC,Private,4 Year,12510,36400,48910,36400,48910,10,North-Carolina,46400,86300,54,7,2050,0,48910
LeTourneau University,Texas,TX,Private,4 Year,9970,30210,40180,30210,40180,18,Texas,56600,98900,53,21,2667,0,40180
Lewis & Clark College,Oregon,OR,Private,4 Year,12490,50934,63424,50934,63424,10,Oregon,50000,93200,51,12,3504,0,63424
Lewis University,Illinois,IL,Private,4 Year,10578,32450,43028,32450,43028,25,Illinois,49700,89800,53,14,6689,0,43028
Lewis-Clark State College,Idaho,ID,Public,4 Year,7580,6618,14198,19236,26816,7,Idaho,44900,77600,60,5,4304,0,20507
Limestone College,South Carolina,SC,Private,4 Year,9765,26000,35765,26000,35765,16,South-Carolina,42100,76500,57,10,3214,0,35765
Lindenwood University,Missouri,MO,Private,4 Year,9000,17600,26600,17600,26600,21,Missouri,45100,78500,48,9,12151,0,26600
Lindsey Wilson College,Kentucky,KY,Private,4 Year,9385,24850,34235,24850,34235,25,Kentucky,35300,64100,52,2,2641,0,34235
Lipscomb University,Tennessee,TN,Private,4 Year,12652,32144,44796,32144,44796,9,Tennessee,49000,84800,59,12,4489,0,44796
Longwood University,Virginia,VA,Public,4 Year,11746,13340,25086,29300,41046,21,Virginia,47300,83300,54,9,5096,0,33066
Loras College,Iowa,IA,Private,4 Year,8275,34184,42459,34184,42459,7,Iowa,48000,90100,56,14,1569,0,42459
Louisiana College,Louisiana,LA,Private,4 Year,5618,17000,22618,17000,22618,17,Louisiana,44800,79800,58,4,1256,0,22618
Louisiana Tech University,Louisiana,LA,Public,4 Year,6495,9645,16140,18558,25053,3,Louisiana,53100,100700,57,24,11225,0,20596.5
Loyola Marymount University,California,CA,Private,4 Year,14490,48522,63012,48522,63012,18,California,58500,113300,39,9,9515,0,63012
Loyola University Chicago,Illinois,IL,Private,4 Year,14480,44048,58528,44048,58528,12,Illinois,53400,96000,45,15,15902,0,58528
Loyola University Maryland,Maryland,MD,Private,4 Year,14430,49085,63515,49085,63515,5,Maryland,59900,111200,40,8,5967,0,63515
Loyola University New Orleans,Louisiana,LA,Private,4 Year,13380,39692,53072,39692,53072,9,Louisiana,47900,88600,47,4,4330,0,53072
Luther College,Iowa,IA,Private,4 Year,9460,42290,51750,42290,51750,14,Iowa,48200,85900,49,21,2385,0,51750
Lyndon State College,Vermont,VT,Public,4 Year,10598,12074,22672,25394,35992,13,Vermont,41500,75100,49,8,1430,0,29332
Lyon College,Arkansas,AR,Private,4 Year,9130,28790,37920,28790,37920,15,Arkansas,41200,74300,53,33,712,0,37920
Macalester College,Minnesota,MN,Private,4 Year,12156,54344,66500,54344,66500,6,Minnesota,53600,100400,51,31,2073,0,66500
Maharishi University of Management,Iowa,IA,Private,4 Year,7400,16530,23930,16530,23930,16,Iowa,46800,85200,NA,65,1454,0,23930
Maine College of Art,Maine,ME,Private,4 Year,11890,35000,46890,35000,46890,17,Maine,36300,64600,37,0,459,0,46890
Maine Maritime Academy,Maine,ME,Public,4 Year,10310,13478,23788,27098,37408,1,Maine,67000,121800,65,48,1060,0,30598
Manchester University,Indiana,IN,Private,4 Year,9580,32758,42338,32758,42338,20,Indiana,46900,84700,56,10,1488,0,42338
Manhattan Christian College,Kansas,KS,Private,4 Year,9092,15850,24942,15850,24942,24,Kansas,39400,72200,NA,0,311,0,24942
